y,title,director,dist,date,country,genre,grade,type2,type3,time,main1,main2,main3,b_screen,b_play,b_count,month,first_count
17613682,명량,김한민,씨제이이앤엠(주),2014-07-30,한국,사극,15세이상관람가,상업영화,일반영화,128분 20초,최민식,류승룡,조진웅,37,157,22500,7,682701
14410931,신과함께-죄와 벌,김용화,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,한국,판타지,12세이상관람가,상업영화,일반영화,139분 32초,하정우,차태현,주지훈,34,62,16199,12,406365
14245998,국제시장,윤제균,씨제이이앤엠(주),2014-12-17,한국,드라마,12세이상관람가,상업영화,일반영화,126분 16초,황정민,김윤진,오달수,68,236,33048,12,184756
13395400,베테랑,류승완,씨제이이앤엠(주),2015-08-05,한국,액션,15세이상관람가,상업영화,일반영화,123분 41초,황정민,유아인,유해진,39,145,25421,8,414219
12983330,도둑들,최동훈,(주)쇼박스,2012-07-25,한국,액션,15세이상관람가,상업영화,일반영화,135분 0초,김윤석,김혜수,이정재,17,62,15849,7,436596
12811206,7번방의 선물,이환경,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,한국,코미디,15세이상관람가,상업영화,일반영화,127분 0초,류승룡,박신혜,갈소원,56,115,24700,1,152808
12705700,암살,최동훈,(주)쇼박스,2015-07-22,한국,액션,15세이상관람가,상업영화,일반영화,139분 55초,전지현,이정재,하정우,37,64,14375,7,477541
12319542,"광해, 왕이 된 남자",추창민,씨제이이앤엠(주),2012-09-13,한국,사극,15세이상관람가,상업영화,일반영화,131분 0초,이병헌,류승룡,한효주,12,48,10894,9,169516
12099971,택시운전사,장훈,(주)쇼박스,2017-08-02,한국,드라마,15세이상관람가,상업영화,일반영화,137분 0초,송강호,토마스 크레취만,류준열,83,477,86713,8,698088
11565078,부산행,연상호,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,한국,액션,15세이상관람가,상업영화,일반영화,118분 9초,공유,정유미,마동석,431,2698,565286,7,872673
11372451,변호인,양우석,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,한국,드라마,15세이상관람가,상업영화,일반영화,126분 55초,송강호,김영애,오달수,16,89,19943,12,119949
9699092,검사외전,이일형,(주)쇼박스,2016-02-03,한국,범죄,15세이상관람가,상업영화,일반영화,126분 13초,황정민,강동원,이성민,20,48,13008,2,526680
9134586,관상,한재림,(주)쇼박스,2013-09-11,한국,사극,15세이상관람가,상업영화,일반영화,139분 40초,송강호,이정재,백윤식,14,50,10684,9,373552
8914845,설국열차,봉준호,씨제이이앤엠(주),2013-08-01,한국,SF,15세이상관람가,상업영화,일반영화,125분 46초,크리스 에반스,송강호,에드 해리스,849,4475,435146,8,601029
8656397,수상한 그녀,황동혁,씨제이이앤엠(주),2014-01-22,한국,드라마,15세이상관람가,상업영화,일반영화,124분 46초,심은경,나문희,박인환,19,149,31394,1,142843
8646758,해적: 바다로 간 산적,이석훈,롯데쇼핑㈜롯데엔터테인먼트,2014-08-06,한국,어드벤처,12세이상관람가,상업영화,일반영화,129분 37초,김남길,손예진,신정근,27,167,35335,8,273445
7817446,공조,김성훈,씨제이이앤엠(주),2017-01-18,한국,액션,15세이상관람가,상업영화,일반영화,125분 0초,현빈,유해진,김주혁,24,92,14606,1,151845
7759473,히말라야,이석훈,씨제이이앤엠(주),2015-12-16,한국,드라마,12세이상관람가,상업영화,일반영화,127분 55초,황정민,정우,조성하,77,168,26776,12,203173
7487545,밀정,김지운,워너브러더스 코리아(주),2016-09-07,한국,액션,15세이상관람가,상업영화,일반영화,139분 55초,송강호,공유,한지민,24,93,18533,9,287228
7466976,최종병기 활,김한민,롯데쇼핑㈜롯데엔터테인먼트,2011-08-10,한국,사극,15세이상관람가,상업영화,일반영화,122분 0초,박해일,류승룡,김무열,221,852,100976,8,140127
7328820,써니,강형철,씨제이이앤엠(주),2011-05-04,한국,드라마,15세이상관람가,상업영화,일반영화,124분 0초,유호정,심은경,강소라,240,1124,59922,5,55417
