"y","title","director","dist","date","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","actor","first_count","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor1","dir_to_m","dir_to_s"
17613682,"명량","김한민","씨제이이앤엠(주)",2014-07-30,"사극","15세이상관람가","상업영화","일반영화","128분 20초","최민식","류승룡","조진웅",37,157,22500,7,"최민식,류승룡,조진웅",682701,4688421.28571429,2.38420706010979,4803252.8,2.45667970150172,3269154.54545455,1.48847725852924,1,12540329,5.64152061442354
14410931,"신과함께-죄와 벌","김용화","롯데쇼핑㈜롯데엔터테인먼트",2017-12-20,"판타지","12세이상관람가","상업영화","일반영화","139분 32초","하정우","차태현","주지훈",34,62,16199,12,"하정우,차태현,주지훈",406365,5630512.83333333,2.97878132235531,3566193.16666667,1.67594472866202,3416817,1.58167021328466,1,7869910.5,3.32769268675153
14245998,"국제시장","윤제균","씨제이이앤엠(주)",2014-12-17,"드라마","12세이상관람가","상업영화","일반영화","126분 16초","황정민","김윤진","오달수",68,236,33048,12,"황정민,김윤진,오달수",184756,5057681.58333333,2.61725518540959,7626472.5,4.23847444801746,4127054.90909091,2.0299166516311,1,14245998,6.48654650826247
12983330,"도둑들","최동훈","(주)쇼박스",2012-07-25,"액션","15세이상관람가","상업영화","일반영화","135분 0초","김윤석","김혜수","이정재",17,62,15849,7,"김윤석,김혜수,이정재",436596,3990354.5,1.94364207981342,4200549,2.07630035498998,6938669.85714286,3.80438738930131,1,12844515,5.79222104137818
12705700,"암살","최동훈","(주)쇼박스",2015-07-22,"액션","15세이상관람가","상업영화","일반영화","139분 55초","전지현","이정재","하정우",37,64,14375,7,"전지현,이정재,하정우",477541,12705700,7.44408429689259,6938669.85714286,3.80438738930131,5630512.83333333,2.97878132235531,1,12844515,5.79222104137818
12319542,"광해, 왕이 된 남자","추창민","씨제이이앤엠(주)",2012-09-13,"사극","15세이상관람가","상업영화","일반영화","131분 0초","이병헌","류승룡","한효주",12,48,10894,9,"이병헌,류승룡,한효주",169516,4845691.33333333,2.48346357373921,4803252.8,2.45667970150172,3651707,1.72991435029216,1,6979946.5,2.88678496984721
12099971,"택시운전사","장훈","(주)쇼박스",2017-08-02,"드라마","15세이상관람가","상업영화","일반영화","137분 0초","송강호","토마스 크레취만","류준열",83,477,86713,8,"송강호,토마스 크레취만,류준열",698088,7164707.85714286,3.94704483849413,12099971,7.06179568151765,4455185.5,2.23700693335905,1,7522554,3.15560464569944
11565078,"부산행","연상호","(주)넥스트엔터테인먼트월드(NEW)",2016-07-20,"액션","15세이상관람가","상업영화","일반영화","118분 9초","공유","정유미","마동석",431,2698,565286,7,"공유,정유미,마동석",872673,5140730.75,2.66966930283346,2219955.375,0.826305069108561,1761397,0.536899004272093,1,2938116.25,0.884373470458115
11372451,"변호인","양우석","(주)넥스트엔터테인먼트월드(NEW)",2013-12-18,"드라마","15세이상관람가","상업영화","일반영화","126분 55초","송강호","김영애","오달수",16,89,19943,12,"송강호,김영애,오달수",119949,7164707.85714286,3.94704483849413,5318459.33333333,2.78183763889637,4127054.90909091,2.0299166516311,1,7911901,3.34849570292597
9699092,"검사외전","이일형","(주)쇼박스",2016-02-03,"범죄","15세이상관람가","상업영화","일반영화","126분 13초","황정민","강동원","이성민",20,48,13008,2,"황정민,강동원,이성민",526680,5057681.58333333,2.61725518540959,5106452.5,2.64803556112722,2075656,0.735234626273203,1,9699092,4.23390938649288
9134586,"관상","한재림","(주)쇼박스",2013-09-11,"사극","15세이상관람가","상업영화","일반영화","139분 40초","송강호","이정재","백윤식",14,50,10684,9,"송강호,이정재,백윤식",373552,7164707.85714286,3.94704483849413,6938669.85714286,3.80438738930131,3619393,1.70952028905813,1,7225455.5,3.00841552194759
8914845,"설국열차","봉준호","씨제이이앤엠(주)",2013-08-01,"SF","15세이상관람가","상업영화","일반영화","125분 46초","크리스 에반스","송강호","에드 해리스",849,4475,435146,8,"크리스 에반스,송강호,에드 해리스",601029,8914845,5.05159407595692,7164707.85714286,3.94704483849413,8914845,5.05159407595692,1,8914845,3.84537619384795
8656397,"수상한 그녀","황동혁","씨제이이앤엠(주)",2014-01-22,"드라마","15세이상관람가","상업영화","일반영화","124분 46초","심은경","나문희","박인환",19,149,31394,1,"심은경,나문희,박인환",142843,2450077.625,0.971540176424644,5968320,3.19197869941457,8656397,4.88848197786286,1,5716370,2.26078141268203
8646758,"해적: 바다로 간 산적","이석훈","롯데쇼핑㈜롯데엔터테인먼트",2014-08-06,"어드벤처","12세이상관람가","상업영화","일반영화","129분 37초","김남길","손예진","신정근",27,167,35335,8,"김남길,손예진,신정근",273445,2756673.33333333,1.16503933003731,3643391,1.72466594361944,4559725.5,2.30298437847279,1,6821259,2.80816769619765
7817446,"공조","김성훈","씨제이이앤엠(주)",2017-01-18,"액션","15세이상관람가","상업영화","일반영화","125분 0초","현빈","유해진","김주혁",24,92,14606,1,"현빈,유해진,김주혁",151845,3967023,1.9289170677542,3925144.28571429,1.90248650937253,1553476.8,0.405676088799201,1,5039896,1.92564133186401
7759473,"히말라야","이석훈","씨제이이앤엠(주)",2015-12-16,"드라마","12세이상관람가","상업영화","일반영화","127분 55초","황정민","정우","조성하",77,168,26776,12,"황정민,정우,조성하",203173,5057681.58333333,2.61725518540959,3076008.75,1.36657878790985,2410648.66666667,0.946655711776384,1,6821259,2.80816769619765
7466976,"최종병기 활","김한민","롯데쇼핑㈜롯데엔터테인먼트",2011-08-10,"사극","15세이상관람가","상업영화","일반영화","122분 0초","박해일","류승룡","김무열",221,852,100976,8,"박해일,류승룡,김무열",140127,2652617.875,1.0993676896033,4803252.8,2.45667970150172,2436173.25,0.962764825952067,1,12540329,5.64152061442354
7328820,"써니","강형철","씨제이이앤엠(주)",2011-05-04,"드라마","15세이상관람가","상업영화","일반영화","124분 0초","유호정","심은경","강소라",240,1124,59922,5,"유호정,심은경,강소라",55417,7328820,4.05061954576268,2450077.625,0.971540176424644,7328820,4.05061954576268,1,5665316.5,2.23548838720575
7231770,"1987","장준환","씨제이이앤엠(주)",2017-12-27,"드라마","15세이상관람가","상업영화","일반영화","129분 5초","김윤석","하정우","유해진",45,170,35331,12,"김윤석,하정우,유해진",331736,3990354.5,1.94364207981342,5630512.83333333,2.97878132235531,3925144.28571429,1.90248650937253,1,4811866.5,1.81267050806458
7166199,"베를린","류승완","씨제이이앤엠(주)",2013-01-30,"액션","15세이상관람가","상업영화","일반영화","120분 0초","하정우","한석균","류승범",631,1792,142751,1,"하정우,한석균,류승범",273647,5630512.83333333,2.97878132235531,7166199,3.94798593086082,1819508,0.573574107706224,1,6879175,2.83686055493377
7118592,"터널","김성훈","(주)쇼박스",2016-08-10,"드라마","12세이상관람가","상업영화","일반영화","126분 20초","하정우","배두나","오달수",24,80,20854,8,"하정우,배두나,오달수",379079,5630512.83333333,2.97878132235531,4487992,2.25771182194834,4127054.90909091,2.0299166516311,1,5039896,1.92564133186401
7071763,"내부자들","우민호","(주)쇼박스",2015-11-19,"범죄","청소년관람불가","상업영화","일반영화","130분 6초","이병헌","조승우","백윤식",712,1814,113784,11,"이병헌,조승우,백윤식",230949,4845691.33333333,2.48346357373921,2674182.5,1.11297758880299,3619393,1.70952028905813,1,3488885.66666667,1.15723673913328
7049643,"인천상륙작전","이재한","씨제이이앤엠(주)",2016-07-27,"전쟁","12세이상관람가","상업영화","일반영화","110분 20초","이정재","이범수","리암 니슨",32,76,12711,7,"이정재,이범수,리암 니슨",464460,6938669.85714286,3.80438738930131,3866104.33333333,1.86522512408717,7049643,3.87442492940037,1,7049643,2.92131414708496
