"y","title","director","dist","date","country","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","actor","first_count","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor1","dir_to_m","dir_to_s"
17613682,"명량","김한민","씨제이이앤엠(주)",2014-07-30,"한국","사극","15세이상관람가","상업영화","일반영화","128분 20초","최민식","류승룡","조진웅",37,157,22500,7,"최민식,류승룡,조진웅",682701,4688421.28571429,2.55554554507023,4888570.07692308,2.68845559303237,3000761.28571429,1.4348444397121,1,12540329,5.75034144142273
14410931,"신과함께-죄와 벌","김용화","롯데쇼핑㈜롯데엔터테인먼트",2017-12-20,"한국","판타지","12세이상관람가","상업영화","일반영화","139분 32초","하정우","차태현","주지훈",34,62,16199,12,"하정우,차태현,주지훈",406365,5626903.84615385,3.17875071841317,3566193.16666667,1.81032299225708,3416817,1.71112882097999,1,7869910.5,3.39657660419719
14245998,"국제시장","윤제균","씨제이이앤엠(주)",2014-12-17,"한국","드라마","12세이상관람가","상업영화","일반영화","126분 16초","황정민","김윤진","오달수",68,236,33048,12,"황정민,김윤진,오달수",184756,5699044.53846154,3.22665619321883,4452911.25,2.3991536430592,3580181.42857143,1.81961198445854,1,14245998,6.60995256966438
13395400,"베테랑","류승완","씨제이이앤엠(주)",2015-08-05,"한국","액션","15세이상관람가","상업영화","일반영화","123분 41초","황정민","유아인","유해진",39,145,25421,8,"황정민,유아인,유해진",414219,5699044.53846154,3.22665619321883,4454846.66666667,2.40043886851792,3875673.45454545,2.01583529966041,1,9051250,3.99193981970467
12983330,"도둑들","최동훈","(주)쇼박스",2012-07-25,"한국","액션","15세이상관람가","상업영화","일반영화","135분 0초","김윤석","김혜수","이정재",17,62,15849,7,"김윤석,김혜수,이정재",436596,4110368.63636364,2.17168609288053,4200549,2.23157092347963,6074719.875,3.47612573383391,1,12844515,5.90364297334675
12811206,"7번방의 선물","이환경","(주)넥스트엔터테인먼트월드(NEW)",2013-01-23,"한국","코미디","15세이상관람가","상업영화","일반영화","127분 0초","류승룡","박신혜","갈소원",56,115,24700,1,"류승룡,박신혜,갈소원",152808,4888570.07692308,2.68845559303237,3424658.6,1.71633608416557,12811206,7.94953118666042,1,6669677.5,2.79169157475546
12705700,"암살","최동훈","(주)쇼박스",2015-07-22,"한국","액션","15세이상관람가","상업영화","일반영화","139분 55초","전지현","이정재","하정우",37,64,14375,7,"전지현,이정재,하정우",477541,12705700,7.87946927204379,6074719.875,3.47612573383391,5626903.84615385,3.17875071841317,1,12844515,5.90364297334675
12319542,"광해, 왕이 된 남자","추창민","씨제이이앤엠(주)",2012-09-13,"한국","사극","15세이상관람가","상업영화","일반영화","131분 0초","이병헌","류승룡","한효주",12,48,10894,9,"이병헌,류승룡,한효주",169516,4581999.875,2.48487574628299,4888570.07692308,2.68845559303237,3651707,1.8671089844238,1,6979946.5,2.9480587744574
12099971,"택시운전사","장훈","(주)쇼박스",2017-08-02,"한국","드라마","15세이상관람가","상업영화","일반영화","137분 0초","송강호","토마스 크레취만","류준열",83,477,86713,8,"송강호,토마스 크레취만,류준열",698088,7205062.5,4.22673677472539,12099971,7.47723116730262,4455185.5,2.40066387289748,1,7522554,3.22151830574241
11565078,"부산행","연상호","(주)넥스트엔터테인먼트월드(NEW)",2016-07-20,"한국","액션","15세이상관람가","상업영화","일반영화","118분 9초","공유","정유미","마동석",431,2698,565286,7,"공유,정유미,마동석",872673,5610093.6,3.16758777004326,1987708.33333333,0.762120334430442,1974657.0625,0.753453556969789,1,2548515.2,0.714737034120709
