y,title,director,dist,date,country,genre,grade,type2,type3,time,main1,main2,main3,b_screen,b_play,b_count
17613682,명량,김한민,씨제이이앤엠(주),2014-07-30,한국,사극,15세이상관람가,상업영화,일반영화,128분 20초,최민식(이순신 ),류승룡(구루지마 ),조진웅(와키자카 ),37,157,22500
14410931,신과함께-죄와 벌,김용화,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,한국,판타지,12세이상관람가,상업영화,일반영화,139분 32초,하정우(강림),차태현(자홍),주지훈(해원맥),34,62,16199
14245998,국제시장,윤제균,씨제이이앤엠(주),2014-12-17,한국,드라마,12세이상관람가,상업영화,일반영화,126분 16초,황정민(덕수),김윤진(영자),오달수(달구),68,236,33048
13395400,베테랑,류승완,씨제이이앤엠(주),2015-08-05,한국,액션,15세이상관람가,상업영화,일반영화,123분 41초,황정민(서도철),유아인(조태오),유해진(최 상무),39,145,25421
12983330,도둑들,최동훈,(주)쇼박스,2012-07-25,한국,액션,15세이상관람가,상업영화,일반영화,135분 0초,김윤석(마카오박),김혜수(팹시),이정재(뽀빠이),17,62,15849
12811206,7번방의 선물,이환경,(주)넥스트엔터테인먼트월드(NEW),2013-01-23,한국,코미디,15세이상관람가,상업영화,일반영화,127분 0초,류승룡(용구),박신혜(큰 예승),갈소원(어린 예승),56,115,24700
12705700,암살,최동훈,(주)쇼박스,2015-07-22,한국,액션,15세이상관람가,상업영화,일반영화,139분 55초,전지현(안옥윤),이정재(염석진),하정우(하와이 피스톨),37,64,14375
12319542,"광해, 왕이 된 남자",추창민,씨제이이앤엠(주),2012-09-13,한국,사극,15세이상관람가,상업영화,일반영화,131분 0초,이병헌(광해/하선),류승룡(허균),한효주(중전),12,48,10894
12099971,택시운전사,장훈,(주)쇼박스,2017-08-02,한국,드라마,15세이상관람가,상업영화,일반영화,137분 0초,송강호(김만섭),토마스 크레취만(위르겐 힌츠페터(피터)),류준열(구재식),83,477,86713
11565078,부산행,연상호,(주)넥스트엔터테인먼트월드(NEW),2016-07-20,한국,액션,15세이상관람가,상업영화,일반영화,118분 9초,공유,정유미,마동석,431,2698,565286
11372451,변호인,양우석,(주)넥스트엔터테인먼트월드(NEW),2013-12-18,한국,드라마,15세이상관람가,상업영화,일반영화,126분 55초,송강호(송우석),김영애(최순애),오달수(박동호),16,89,19943
11202737,어벤져스: 인피니티 워,"안소니 루소,조 루소",월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,미국,액션,12세이상관람가,상업영화,일반영화,149분 9초,로버트 다우니 주니어,조슈 브롤린,마크 러팔로,1,1,624
10494499,어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니컴퍼니코리아(주),2015-04-23,미국,액션,12세이상관람가,상업영화,일반영화,141분 6초,로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,6,13,3501
10296101,겨울왕국,"크리스 벅,제니퍼 리",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,미국,애니메이션,전체관람가,상업영화,일반영화,108분 2초,이디나 멘젤(엘사 목소리 ),크리스틴 벨(안나 목소리 ),조나단 그로프(크리스토프 목소리 ),8,25,5623
10273803,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아(주),2014-11-06,미국,SF,12세이상관람가,상업영화,일반영화,169분 5초,매튜 매커너히,앤 해서웨이,마이클 케인,241,255,15181
9699092,검사외전,이일형,(주)쇼박스,2016-02-03,한국,범죄,15세이상관람가,상업영화,일반영화,126분 13초,황정민(변재욱),강동원(한치원),이성민(우종길),20,48,13008
9134586,관상,한재림,(주)쇼박스,2013-09-11,한국,사극,15세이상관람가,상업영화,일반영화,139분 40초,송강호(내경),이정재(수양대군),백윤식(김종서),14,50,10684
9001309,아이언맨 3,쉐인 블랙,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,미국,액션,12세이상관람가,상업영화,일반영화,130분 22초,로버트 다우니 주니어(토니 스타크),기네스 팰트로우(페퍼 포츠),벤 킹슬리(만다린),2,2,697
8914845,설국열차,봉준호,씨제이이앤엠(주),2013-08-01,한국,SF,15세이상관람가,상업영화,일반영화,125분 46초,크리스 에반스,송강호,에드 해리스,849,4475,435146
