"y","title","director","dist","date","country","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","first_count","actor","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor2","dist_factor1","dir_to_m","dir_to_s"
11202737,"어벤져스: 인피니티 워","안소니 루소,조 루소","월트디즈니컴퍼니코리아 유한책임회사",2018-04-25,"미국","액션","12세이상관람가","상업영화","일반영화","149분 9초","로버트 다우니 주니어","조슈 브롤린","마크 러팔로",1,1,624,4,980042,"로버트 다우니 주니어,조슈 브롤린,마크 러팔로",7992541.42857143,6.66791316029592,2109742.33333333,1.2898362335064,4466438.14285714,3.44433635351238,1,0,9939993,7.28583484915468
10494499,"어벤져스: 에이지 오브 울트론","조스 웨던","월트디즈니컴퍼니코리아(주)",2015-04-23,"미국","액션","12세이상관람가","상업영화","일반영화","141분 6초","로버트 다우니 주니어","크리스 헴스워스","마크 러팔로",6,13,3501,4,622165,"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로",7992541.42857143,6.66791316029592,2832515.4,1.95059807327268,4466438.14285714,3.44433635351238,1,0,8784683,6.37579799706202
10296101,"겨울왕국","크리스 벅,제니퍼 리","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2014-01-16,"미국","애니메이션","전체관람가","상업영화","일반영화","108분 2초","이디나 멘젤","크리스틴 벨","조나단 그로프",8,25,5623,1,160592,"이디나 멘젤,크리스틴 벨,조나단 그로프",10296101,8.77383593277567,5173626,4.09085013646383,10296101,8.77383593277567,1,0,10296101,7.56634086340628
10273803,"인터스텔라","크리스토퍼 놀란","워너브러더스 코리아(주)",2014-11-06,"미국","SF","12세이상관람가","상업영화","일반영화","169분 5초","매튜 매커너히","앤 해서웨이","마이클 케인",241,255,15181,11,227025,"매튜 매커너히,앤 해서웨이,마이클 케인",1462347.11111111,0.697985100945127,2949516.7,2.05756109916349,3963012.66666667,2.98410290103062,1,0,6487678.66666667,4.56644934367041
9001309,"아이언맨 3","쉐인 블랙","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",2013-04-25,"미국","액션","12세이상관람가","상업영화","일반영화","130분 22초","로버트 다우니 주니어","기네스 팰트로우","벤 킹슬리",2,2,697,4,422504,"로버트 다우니 주니어,기네스 팰트로우,벤 킹슬리",7992541.42857143,6.66791316029592,3102759.33333333,2.1976560874825,3116897.66666667,2.21058140467458,1,0,4512788.5,3.01082978658004
8677249,"캡틴 아메리카: 시빌 워","안소니 루소,조 루소","월트디즈니컴퍼니코리아(주)",2016-04-27,"미국","액션","12세이상관람가","상업영화","일반영화","147분 29초","크리스 에반스","로버트 다우니 주니어","스칼렛 요한슨",4,8,1264,4,727949,"크리스 에반스,로버트 다우니 주니어,스칼렛 요한슨",2203871,1.37588901249034,7992541.42857143,6.66791316029592,2284123.75,1.44925637657996,1,0,9939993,7.28583484915468
7784807,"트랜스포머 3","마이클 베이","씨제이이앤엠(주)",2011-06-29,"미국","액션","12세이상관람가","상업영화","일반영화","152분 0초","조쉬 더하멜","존 말코비치","로지 헌팅턴-휘틀리",24,24,6543,6,544995,"조쉬 더하멜,존 말코비치,로지 헌팅턴-휘틀리",1997605.5,1.18732032122896,3405130.75,2.47408516707014,7784807,6.47800156904268,0,1,3960009,2.57540577390694
7575899,"미션임파서블:고스트프로토콜","브래드 버드","씨제이이앤엠(주)",2011-12-15,"미국","액션","15세이상관람가","상업영화","일반영화","132분 0초","톰 크루즈","제레미 레너",NA,15,130,20350,12,264719,"톰 크루즈,제레미 레너,NA",2832225,1.95033258850696,1972673.25,1.16452716506517,2400967.54222933,1.55607540827795,0,1,3920821.5,2.54453780847655
7257973,"스파이더맨: 홈 커밍","존 와츠","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점",2017-07-05,"미국","액션","12세이상관람가","상업영화","일반영화","133분 16초","톰 홀랜드","로버트 다우니 주니어","마이클 키튼",8,17,6197,7,545302,"톰 홀랜드,로버트 다우니 주니어,마이클 키튼",7257973,5.99636795657719,7992541.42857143,6.66791316029592,1770661.5,0.979847267957213,1,0,7257973,5.17320963336883
7074867,"어벤져스","조스 웨던","한국소니픽쳐스릴리징브에나비스타영화㈜",2012-04-26,"미국","액션","12세이상관람가","상업영화","일반영화","142분 0초","로버트 다우니 주니어","스칼렛 요한슨","크리스 헴스워스",653,1463,79954,4,214105,"로버트 다우니 주니어,스칼렛 요한슨,크리스 헴스워스",7992541.42857143,6.66791316029592,2284123.75,1.44925637657996,2832515.4,1.95059807327268,1,0,8784683,6.37579799706202
