y,title,director,dist,date,country,genre,grade,type2,type3,time,main1,main2,main3,b_screen,b_play,b_count,month,first_count
11202737,어벤져스: 인피니티 워,"안소니 루소,조 루소",월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,미국,액션,12세이상관람가,상업영화,일반영화,149분 9초,로버트 다우니 주니어,조슈 브롤린,마크 러팔로,1,1,624,4,980042
10494499,어벤져스: 에이지 오브 울트론,조스 웨던,월트디즈니컴퍼니코리아(주),2015-04-23,미국,액션,12세이상관람가,상업영화,일반영화,141분 6초,로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,6,13,3501,4,622165
10296101,겨울왕국,"크리스 벅,제니퍼 리",소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,미국,애니메이션,전체관람가,상업영화,일반영화,108분 2초,이디나 멘젤,크리스틴 벨,조나단 그로프,8,25,5623,1,160592
10273803,인터스텔라,크리스토퍼 놀란,워너브러더스 코리아(주),2014-11-06,미국,SF,12세이상관람가,상업영화,일반영화,169분 5초,매튜 매커너히,앤 해서웨이,마이클 케인,241,255,15181,11,227025
9001309,아이언맨 3,쉐인 블랙,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,미국,액션,12세이상관람가,상업영화,일반영화,130분 22초,로버트 다우니 주니어,기네스 팰트로우,벤 킹슬리,2,2,697,4,422504
8677249,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",월트디즈니컴퍼니코리아(주),2016-04-27,미국,액션,12세이상관람가,상업영화,일반영화,147분 29초,크리스 에반스,로버트 다우니 주니어,스칼렛 요한슨,4,8,1264,4,727949
7784807,트랜스포머 3,마이클 베이,씨제이이앤엠(주),2011-06-29,미국,액션,12세이상관람가,상업영화,일반영화,152분 0초,조쉬 더하멜,존 말코비치,로지 헌팅턴-휘틀리,24,24,6543,6,544995
7575899,미션임파서블:고스트프로토콜,브래드 버드,씨제이이앤엠(주),2011-12-15,미국,액션,15세이상관람가,상업영화,일반영화,132분 0초,톰 크루즈,제레미 레너,NA,15,130,20350,12,264719
7257973,스파이더맨: 홈 커밍,존 와츠,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,미국,액션,12세이상관람가,상업영화,일반영화,133분 16초,톰 홀랜드,로버트 다우니 주니어,마이클 키튼,8,17,6197,7,545302
7074867,어벤져스,조스 웨던,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-04-26,미국,액션,12세이상관람가,상업영화,일반영화,142분 0초,로버트 다우니 주니어,스칼렛 요한슨,크리스 헴스워스,653,1463,79954,4,214105
6396528,다크 나이트 라이즈,크리스토퍼 놀란,워너브러더스 코리아(주),2012-07-19,미국,액션,15세이상관람가,상업영화,일반영화,164분 0초,크리스찬 베일,게리 올드만,앤 해서웨이,3,3,863,7,441089
6126488,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,미국,액션,15세이상관람가,상업영화,일반영화,131분 22초,톰 크루즈,제레미 레너,사이먼 페그,4,6,1251,7,471801
5911890,레미제라블,톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,미국,드라마,12세이상관람가,상업영화,일반영화,158분 0초,휴 잭맨,러셀 크로우,앤 해서웨이,371,819,59207,12,283842
5546792,쥬라기 월드,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,미국,액션,12세이상관람가,상업영화,일반영화,124분 45초,크리스 프랫,주디 그리어,브라이스 달라스 하워드,7,8,2761,6,274719
5519298,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,미국,액션,12세이상관람가,상업영화,일반영화,127분 36초,크리스 프랫,브라이스 달라스 하워드,제프 골드블럼,1,1,624,6,1183496
5446379,닥터 스트레인지,스콧 데릭슨,월트디즈니컴퍼니코리아(주),2016-10-26,미국,액션,12세이상관람가,상업영화,일반영화,114분 47초,베네딕트 컴버배치,레이첼 맥아담스,틸다 스윈튼,1173,2755,118546,10,435068
