"y","title","director","dist","date","genre","grade","type2","type3","time","main1","main2","main3","b_screen","b_play","b_count","month","first_count","actor","main1_to_m","main1_to_s","main2_to_m","main2_to_s","main3_to_m","main3_to_s","dist_factor2","dist_factor1","dir_to_m","dir_to_s"
1515104,"몬스터 호텔 2","젠디 타타코브스키","유니버설픽쳐스인터내셔널 코리아(유)",2015-12-24,"애니메이션","전체관람가","상업영화","일반영화","89분 9초","아담 샌들러","셀레나 고메즈","케빈 제임스",8,22,4469,12,57231,"아담 샌들러,셀레나 고메즈,케빈 제임스",1199994.5,0.507276138723251,795723.5,0.12661624986172,1515104,0.803981930751896,0,0,1199994.5,0.471354251099136
26812,"러브 앤 머시","빌 포래드","판씨네마(주)",2015-07-30,"드라마","15세이상관람가","다양성영화","예술영화","120분 51초","존 쿠삭","폴 다노","엘리자베스 뱅크스",7,11,1934,7,1288,"존 쿠삭,폴 다노,엘리자베스 뱅크스",115775,-0.513620424155373,28182,-0.596097627924746,220448,-0.415060763564327,0,0,26812,-0.524632299230878
401541,"아메리칸 메이드","더그 라이만","유니버설픽쳐스인터내셔널 코리아(유)",2017-09-14,"범죄","15세이상관람가","상업영화","일반영화","114분 46초","톰 크루즈","도널 글리슨","사라 라이트",2,3,510,9,49188,"톰 크루즈,도널 글리슨,사라 라이트",2356147.66666667,1.59590514236249,176786,-0.456172720809521,401541,-0.244544349442114,0,0,2549341.5,1.61689764586351
143947,"안나 카레니나","조 라이트","유니버설픽쳐스인터내셔널 코리아(유)",2013-03-21,"드라마","15세이상관람가","상업영화","일반영화","130분 0초","키이라 나이틀리","주드 로","애런 존슨",2,6,1266,3,11713,"키이라 나이틀리,주드 로,애런 존슨",849344.2,0.177105277525534,1101953.6,0.414961235853927,221556,-0.41401747538175,0,0,179606.333333333,-0.394915822070129
341882,"숲속으로","롭 마샬","월트디즈니컴퍼니코리아(주)",2014-12-24,"뮤지컬","전체관람가","상업영화","일반영화","124분 35초","메릴 스트립","조니 뎁","에밀리 블런트",5,7,1225,12,55379,"메릴 스트립,조니 뎁,에밀리 블런트",109192.4,-0.51981857288338,857134.142857143,0.184440255256406,943898.285714286,0.266137010594202,1,0,341882,-0.257150059756221
2744413,"메이즈 러너: 스코치 트라이얼","웨스 볼","이십세기폭스코리아(주)",2015-09-16,"액션","12세이상관람가","상업영화","일반영화","131분 35초","딜런 오브라이언","토마스 생스터","카야 스코델라리오",17,44,8833,9,111026,"딜런 오브라이언,토마스 생스터,카야 스코델라리오",1473817,0.765106263609247,2744413,1.96149416219189,2897153.5,2.10531398046888,1,0,2744413,1.78250580175801
235207,"닌자터틀 : 어둠의 히어로","데이브 그린","롯데쇼핑㈜롯데엔터테인먼트",2016-06-16,"액션","12세이상관람가","상업영화","일반영화","112분 3초","메간 폭스","스티븐 아멜","로라 린니",3,10,2202,6,27009,"메간 폭스,스티븐 아멜,로라 린니",317768,-0.323424657130761,235207,-0.401163750670235,431154.5,-0.216660401251912,0,1,127174.5,-0.439428419904775
32187,"팔로우","데이빗 로버트 밋첼","(주)영화사오원,(주)브리즈픽처스",2015-04-02,"공포(호러)","청소년관람불가","다양성영화","예술영화","99분 56초","마이카 먼로","키어 길크리스","다니엘 조바토",2,7,1302,4,4885,"마이카 먼로,키어 길크리스,다니엘 조바토",32187,-0.59232653661498,32187,-0.59232653661498,32187,-0.59232653661498,0,0,32187,-0.520069132197596
14343,"리틀 보이","알레한드로 몬테베르드","메가박스중앙(주)플러스엠",2015-12-10,"드라마","12세이상관람가","다양성영화","예술영화","106분 23초","제이콥 살바티","에밀리 왓슨","캐리-히로유키 타가와",1,3,796,12,1455,"제이콥 살바티,에밀리 왓슨,캐리-히로유키 타가와",14343,-0.609128372652799,58269,-0.567767834107784,14343,-0.609128372652799,0,0,14343,-0.535217997786785
55875,"더 보이","윌리엄 브렌트 벨","(주)리틀빅픽쳐스",2016-06-01,"공포(호러)","15세이상관람가","다양성영화","예술영화","97분 12초","로렌 코핸","루퍼트 에반스",NA,2,5,1084,6,4180,"로렌 코핸,루퍼트 에반스,NA",55875,-0.57002201453115,55875,-0.57002201453115,378098.384960056,-0.266617818070159,0,0,55875,-0.49995893672143
32021,"극장판 위 베어 베어스: 곰 브라더스","매니 에르난데스","(주)팝엔터테인먼트",2017-08-24,"애니메이션","전체관람가","상업영화","일반영화","61분 55초",NA,NA,NA,2,3,618,8,3021,"NA,NA,NA",555752.299977078,-0.0993396320360487,474472.621972555,-0.175872238124299,369942.872482593,-0.274297014632068,0,0,24078.5,-0.526952934967711
78336,"세인트 빈센트","데오도르 멜피","(주)영화사 빅",2015-03-05,"코미디","12세이상관람가","다양성영화","예술영화","101분 38초","빌 머레이","나오미 왓츠","멜리사 맥카시",61,115,9987,3,7448,"빌 머레이,나오미 왓츠,멜리사 맥카시",667246,0.00564237127234028,68499,-0.558135308739768,969913.333333333,0.290632671018507,0,0,263629.5,-0.323583404550998
