title,country,date,count_date,final_y,acc_y,percent,percent_re
푸른소금,한국,2011-08-31,2011-09-18,771699,743551,0.963524638,0.963524638
콜롬비아나,미국,2011-08-31,2011-09-18,598365,578519,0.966832953,0.966832953
술에 대하여 - 극장판,한국,2011-09-01,2011-09-18,541,322,0.595194085,0.595194085
댄스타운,한국,2011-09-01,2011-09-18,528,429,0.8125,0.8125
꿈의 공장,한국,2011-09-01,2011-09-18,888,692,0.779279279,0.779279279
바다,한국,2011-09-01,2011-09-18,1198,1160,0.968280467,0.968280467
숨,한국,2011-09-01,2011-09-18,805,546,0.67826087,0.67826087
화이트 노이즈 2,미국,2011-09-01,2011-09-02,20,20,1,1
부기맨 3,미국,2011-09-01,2011-09-06,64,64,1,1
메신저 2,미국,2011-09-01,2011-09-05,97,75,0.773195876,1
간첩,한국,2012-09-20,2012-10-06,1310895,1228221,0.936933164,1
런던 블러바드,미국,2012-09-20,2012-09-28,16977,16959,0.998939742,1
대재앙,미국,2012-09-20,2012-10-02,20,20,1,1
럼 다이어리,미국,2012-09-20,2012-10-02,12685,12413,0.978557351,1
33리,한국,2013-09-05,2013-09-21,171,153,0.894736842,1
개똥이,한국,2013-09-05,2013-09-22,831,640,0.770156438,0.770156438
스파이,한국,2013-09-05,2013-09-22,3436092,2843502,0.827539542,0.827539542
천안함 프로젝트,한국,2013-09-05,2013-09-22,21317,17858,0.837735141,0.837735141
미스체인지,한국,2013-09-05,2013-09-12,6054,6054,1,1
뫼비우스,한국,2013-09-05,2013-09-22,35348,34716,0.982120629,0.982120629
섹슈얼 어딕션 : 꽃잎에 느껴지는 쾌락과 통증,미국,2013-09-05,2013-09-18,884,884,1,1
킬링시즌,미국,2013-09-05,2013-09-22,9240,9140,0.989177489,0.989177489
블링 링,미국,2013-09-05,2013-09-21,5141,4987,0.970044738,1
더블샤크,미국,2013-09-05,2013-09-18,5650,5650,1,1
